Product,Handle,Type,Shopify color,Shopify size,Printful color,Printful size,Printful variant ID,Shopify product ID,Shopify variant ID
Bloom | Crewneck,bloom-crewneck,Crewneck,Black,2XL,Black,2XL,11258,10865188995418,54206717985114
Bloom | Crewneck,bloom-crewneck,Crewneck,Black,L,Black,L,11256,10865188995418,54206717919578
Bloom | Crewneck,bloom-crewneck,Crewneck,Black,M,Black,M,11255,10865188995418,54206717886810
Bloom | Crewneck,bloom-crewneck,Crewneck,Black,S,Black,S,11254,10865188995418,54206717854042
Bloom | Crewneck,bloom-crewneck,Crewneck,Black,XL,Black,XL,11257,10865188995418,54206717952346
Bloom | Crewneck,bloom-crewneck,Crewneck,Heather Grey,2XL,Carbon Grey,2XL,11248,10865188995418,54206718181722
Bloom | Crewneck,bloom-crewneck,Crewneck,Heather Grey,L,Carbon Grey,L,11246,10865188995418,54206718116186
Bloom | Crewneck,bloom-crewneck,Crewneck,Heather Grey,M,Carbon Grey,M,11245,10865188995418,54206718083418
Bloom | Crewneck,bloom-crewneck,Crewneck,Heather Grey,S,Carbon Grey,S,11244,10865188995418,54206718050650
Bloom | Crewneck,bloom-crewneck,Crewneck,Heather Grey,XL,Carbon Grey,XL,11247,10865188995418,54206718148954
Bloom | T-Shirt,bloom-t-shirt,T-Shirt,Black,2XL,Black,2XL,21024,10865189028186,54206718378330
Bloom | T-Shirt,bloom-t-shirt,T-Shirt,Black,L,Black,L,21012,10865189028186,54206718312794
Bloom | T-Shirt,bloom-t-shirt,T-Shirt,Black,M,Black,M,21006,10865189028186,54206718280026
Bloom | T-Shirt,bloom-t-shirt,T-Shirt,Black,S,Black,S,21000,10865189028186,54206718247258
Bloom | T-Shirt,bloom-t-shirt,T-Shirt,Black,XL,Black,XL,21018,10865189028186,54206718345562
Bloom | T-Shirt,bloom-t-shirt,T-Shirt,Heather Grey,2XL,Heather Grey,2XL,21026,10865189028186,54206718542170
Bloom | T-Shirt,bloom-t-shirt,T-Shirt,Heather Grey,L,Heather Grey,L,21014,10865189028186,54206718476634
Bloom | T-Shirt,bloom-t-shirt,T-Shirt,Heather Grey,M,Heather Grey,M,21008,10865189028186,54206718443866
Bloom | T-Shirt,bloom-t-shirt,T-Shirt,Heather Grey,S,Heather Grey,S,21002,10865189028186,54206718411098
Bloom | T-Shirt,bloom-t-shirt,T-Shirt,Heather Grey,XL,Heather Grey,XL,21020,10865189028186,54206718509402
Bloom | T-Shirt,bloom-t-shirt,T-Shirt,Pure White,2XL,White,2XL,21029,10865189028186,54206718706010
Bloom | T-Shirt,bloom-t-shirt,T-Shirt,Pure White,L,White,L,21017,10865189028186,54206718640474
Bloom | T-Shirt,bloom-t-shirt,T-Shirt,Pure White,M,White,M,21011,10865189028186,54206718607706
Bloom | T-Shirt,bloom-t-shirt,T-Shirt,Pure White,S,White,S,21005,10865189028186,54206718574938
Bloom | T-Shirt,bloom-t-shirt,T-Shirt,Pure White,XL,White,XL,21023,10865189028186,54206718673242
Chill Vibes | Crewneck,chill-vibes-crewneck,Crewneck,Black,2XL,Black,2XL,11258,10865189060954,54206718869850
Chill Vibes | Crewneck,chill-vibes-crewneck,Crewneck,Black,L,Black,L,11256,10865189060954,54206718804314
Chill Vibes | Crewneck,chill-vibes-crewneck,Crewneck,Black,M,Black,M,11255,10865189060954,54206718771546
Chill Vibes | Crewneck,chill-vibes-crewneck,Crewneck,Black,S,Black,S,11254,10865189060954,54206718738778
Chill Vibes | Crewneck,chill-vibes-crewneck,Crewneck,Black,XL,Black,XL,11257,10865189060954,54206718837082
Chill Vibes | Crewneck,chill-vibes-crewneck,Crewneck,Heather Grey,2XL,Carbon Grey,2XL,11248,10865189060954,54206719066458
Chill Vibes | Crewneck,chill-vibes-crewneck,Crewneck,Heather Grey,L,Carbon Grey,L,11246,10865189060954,54206719000922
Chill Vibes | Crewneck,chill-vibes-crewneck,Crewneck,Heather Grey,M,Carbon Grey,M,11245,10865189060954,54206718968154
Chill Vibes | Crewneck,chill-vibes-crewneck,Crewneck,Heather Grey,S,Carbon Grey,S,11244,10865189060954,54206718935386
Chill Vibes | Crewneck,chill-vibes-crewneck,Crewneck,Heather Grey,XL,Carbon Grey,XL,11247,10865189060954,54206719033690
Chill Vibes | T-Shirt,chill-vibes-t-shirt,T-Shirt,Black,2XL,Black,2XL,21024,10865189093722,54206719263066
Chill Vibes | T-Shirt,chill-vibes-t-shirt,T-Shirt,Black,L,Black,L,21012,10865189093722,54206719197530
Chill Vibes | T-Shirt,chill-vibes-t-shirt,T-Shirt,Black,M,Black,M,21006,10865189093722,54206719164762
Chill Vibes | T-Shirt,chill-vibes-t-shirt,T-Shirt,Black,S,Black,S,21000,10865189093722,54206719131994
